title,platform,date,summary,meta_socre,user_socre,rate_num,genre,rating
Metal Gear Solid 3: Subsistence,PlayStation 2,2006,"
                        Metal Gear goes online for the first time in Metal Gear Solid 3 Subsistence! Players can battle or team up with up to 7 other friends for online dominance. Featuring different gameplay modes, new camera system, and robust online play, Subsistence is the game that gives players a brand new Metal Gear experience. Includes MGS3 Snake Eater and all new Online Modes, including Death Match, Team Death Match, Sneaking Mission, Capture Mission, and Rescue Mission. Third Person Camera system gives players more control. Bonus Metal Gear and Metal Gear 2 Solid Snake games which have never been released before in the North America. Demo Theater, Duel Mode, and new stages for Snake vs. Monkey mini-game. [Konami]
                        ",94,9,663,Action Adventure,M
Call of Duty: Modern Warfare 2,Xbox 360,2009,"
                        Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse. An entirely new gameplay mode which supports 2-player co-operative play online that is unique from the single player story campaign. Special Ops pits players into a gauntlet of time-trial and objective-based missions. Rank-up as players unlock new Special Ops missions, each more difficult. Missions include highlights from the single player campaign, fan favorites from Call of Duty 4: Modern Warfare and all new, exclusive missions. Setting a new bar for online multiplayer, Modern Warfare 2 multiplayer delivers new capabilities, customization, gamestates and modes, including: Create-a-Class Evolved. Secondary Weapons - Machine Pistols, Shotguns, Handguns, Launchers. Riot Shields. Equipment - Throwing Knives, Blast Shield, Tactical Insertion. Perk Upgrades. Bling (Dual Attachments). Customizable Killstreaks - AC130, Sentry Gun, Predator Missile, Counter-UAV, Care Package. Accolades (Post match reports). [Activision]
                        ",94,6.5,2958,Action,M
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,"
                        Metal Gear Solid 4: Guns of the Patriots features an aging and exhausted Solid Snake in the middle of a futuristic battlefield. In spite of his failing body, Snake is equipped with a crucial new device tentatively known as ""OctoCamo,"" a high-tech suit that dynamically transforms its texture based on Snake's surroundings. This revolutionary new gameplay mechanic allows him to seamlessly blend into the environment, providing him with the means to stalk his enemies like never before. This latest chapter in Hideo Kojima's legendary tactical espionage actin series marks the return of several characters from previous Metal Gear Solid games including Revolver Ocelot, Meryl Silverburgh, Naomi Hunter and Raiden, and features an unforgettable story that depicts the desperate state of the future as seen through the eyes of an older Solid Snake. [Konami]
                        ",94,8.8,4097,Action Adventure,M
NCAA Football 2004,PlayStation 2,2003,"
                        Take the rivalry online: Battle Michigan vs. Ohio State, USC vs. Notre Dame, Oklahoma vs. Nebraska, and more in online head-to-head exhibition games. Chat or sing your favorite fight song in-game with EA SPORTS Talk, or follow the stat leaders across the country in the Online Top 100. Get in the end zone with new trick plays like the Halfback Throwback and Wide Receiver Double Reverse Pass. New animations include sideline tackles, stumbles, new over-the-shoulder and basket catches, user-controlled celebrations, and much more. See the receivers better through a new QB Rollout camera and use the Play-Action Pass camera to fake out the defense. New College Classics mode: Replay 20 of the greatest college football games from the last two decades. Take over the game at a key situation, relive the glorious victory, or change history with an upset. Over 150 new teams: Play as one of 36 new 1-AA teams or one of the 100+ NEW Classic Teams including 1930 Notre Dame, 1956 Oklahoma, 1972 USC, 1985 Auburn, and 2002 Ohio State. Continuing the dynasty: Project the season's top performers with the new Pre-Season All-American Team and revel in your weekly accomplishments with new Sports Illustrated magazine covers. [EA Sports]
                        ",94,8.3,86,Sports,E
God of War,PlayStation 2,2005,"
                        Unleash the power of the Gods and embark on a merciless quest as Kratos, an ex-Spartan warrior driven to destroy Ares, the God of War. Armed with lethal double chainblades, Kratos must carve through mythology's darkest creatures including Medusa, Cyclops, the Hydra and more, while solving intricate puzzles in breathtaking environments. Driven by pure revenge, nothing can stop Kratos from achieving absolution. [SCEA]
                        ",94,8.9,1700,Action Adventure,M
Star Wars: Knights of the Old Republic,Xbox,2003,"
                        Long before the Galactic Civil War, an epic drama begins.  Engage in this saga set in the Golden Age of the Republic--over 4,000 years before the first Star Wars film, when both Jedi and Sith number in the thousands.  With the Galaxy reeling from a recent conflict with the Dark Lords, the ongoing battle between the Jedi and the Sith rages on.  It's up to guide your customizable and evolving characters through ten different worlds, fast-paced minigames, and locations including a Sith world, the Wookie homeworld, and the Jedi Academy.  Your actions determine the outcome of this colossal galactic war--and your destiny as a Jedi.  
                        ",94,9.1,410,Role-Playing,T
Sid Meier's Civilization IV,PC,2005,"
                        Faster-Paced Fun - Gameplay has been streamlined for a tighter, faster, and more compelling experience.Greater Accessibility and Ease of Play - An easy-to-use interface will be immediately familiar to RTS and action game players, and newcomers to the series will be able to jump in and play. Tech Tree - Flexible Tech tree allows players more strategic choices for developing their civilizations along unique paths. More Civs, Units, and Improvements to enhance and grow your empire. Multiplayer -LAN, Internet, PBEM, and Persistent Turn-Based Server (PTBS) offer players all-new strategies and ways to play when competing or cooperating with live opponents. Team Play - Whether playing multiplayer or single player, team play offers a new way of setting locked alliances that result in shared wonder effects, visibility, unit trading, and shared territory that delivers a plethora of new strategic and tactical options. Civ IV comes to life! - Beautiful 3D world with dozens of fully animated units (including culturally unique units), and totally customizable armies. Cities and wonders will appear on the map. Wonder movies are back! [2K Games]
                        ",94,8.3,1072,Strategy,E10+
Madden NFL 2004,GameCube,2003,"
                        In its 14th season, Madden NFL Football isn't showing signs of slowing down. Madden NFL 2004 adds new features such as Playmaker Control and Owner Mode to it's deepen its football simulation. This year, players can make adjustments after the snap and create championship caliber plays with the easy-to-use Playmaker Control. The new Owner mode allows you build and manage your own stadium in addition to your own team. Compete against other players through EA Sports Online Tournaments. With new plays, modes, and online play, Madden NFL 2004 is the most complete, authentic installment in the series yet.
                        ",94,7.1,25,Sports,E
Virtua Fighter 4,PlayStation 2,2002,"
                        Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]
                        ",94,8.1,95,Action,T
Super Mario 64,Nintendo 64,1996,"
                        Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch nemesis - Bowser, King of the Koopas!
                        ",94,9.2,1297,Action,E
